sample,run_accession
lti-001,ERR17174551
lti-002,ERR17174552
lti-003,ERR17174553
lti-004,ERR17174554
lti-005,ERR17174555
lti-006,ERR17174556
lti-007,ERR17174557
lti-008,ERR17174558
lti-009,ERR17174559
lti-010,ERR17174560
lti-011,ERR17174561
lti-012,ERR17174562
lti-013,ERR17174563
lti-014,ERR17174564
lti-015,ERR17174565
lti-016,ERR17174566
lti-017,ERR17174567
lti-018,ERR17174568
lti-019,ERR17174569
lti-020,ERR17174570
lti-021,ERR17174571
lti-022,ERR17174572
lti-023,ERR17174573
lti-024,ERR17174574
lti-025,ERR17174575
lti-029,ERR17174579
lti-030,ERR17174580
lti-031,ERR17174581
lti-032,ERR17174582
lti-033,ERR17174583
lti-034,ERR17174584
lti-035,ERR17174585
lti-036,ERR17174586
lti-037,ERR17174587
lti-038,ERR17174588
lti-039,ERR17174589
lti-040,ERR17174590
lti-041,ERR17174591
lti-042,ERR17174592
lti-043,ERR17174593
lti-044,ERR17174594
lti-045,ERR17174595
lti-046,ERR17174596
lti-047,ERR17174597
lti-048,ERR17174598
lti-049,ERR17174599
lti-050,ERR17174600
lti-051,ERR17174601
lti-052,ERR17174602
lti-053,ERR17174603
lti-054,ERR17174604
lti-055,ERR17174605
lti-056,ERR17174606
lti-057,ERR17174607
lti-058,ERR17174608
lti-059,ERR17174609
lti-060,ERR17174610
lti-061,ERR17174611
lti-062,ERR17174612
lti-063,ERR17174613
lti-064,ERR17174614
lti-065,ERR17174615
lti-066,ERR17174616
lti-067,ERR17174617
lti-068,ERR17174618
lti-069,ERR17174619
lti-070,ERR17174620
lti-071,ERR17174621
lti-072,ERR17174622
lti-073,ERR17174623
lti-074,ERR17174624
lti-075,ERR17174625
lti-076,ERR17174626
lti-077,ERR17174627
lti-078,ERR17174628
lti-079,ERR17174629
lti-080,ERR17174630
lti-081,ERR17174631
lti-082,ERR17174632
lti-083,ERR17174633
lti-084,ERR17174634
lti-085,ERR17174635
lti-086,ERR17174636
lti-087,ERR17174637
lti-088,ERR17174638
lti-089,ERR17174639
lti-090,ERR17174640
lti-091,ERR17174641
lti-092,ERR17174642
lti-094,ERR17174644
lti-095,ERR17174645
lti-096,ERR17174646
lti-097,ERR17174647
lti-098,ERR17174648
lti-099,ERR17174649
lti-100,ERR17174650
lti-101,ERR17174651
lti-102,ERR17174652
lti-105,ERR17174655
lti-106,ERR17174656
lti-107,ERR17174657
lti-108,ERR17174658
lti-109,ERR17174659
lti-110,ERR17174660
lti-111,ERR17174661
lti-112,ERR17174662
lti-113,ERR17174663
lti-114,ERR17174664
lti-115,ERR17174665
lti-116,ERR17174666
lti-127,ERR17174677
lti-128,ERR17174678
lti-129,ERR17174679
lti-130,ERR17174680
lti-131,ERR17174681
lti-132,ERR17174682
lti-133,ERR17174683
lti-134,ERR17174684
lti-135,ERR17174685
lti-136,ERR17174686
lti-137,ERR17174687
lti-138,ERR17174688
lti-139,ERR17174689
lti-140,ERR17174690
lti-141,ERR17174691
lti-142,ERR17174692
lti-143,ERR17174693
lti-144,ERR17174694
lti-145,ERR17174695
lti-146,ERR17174696
lti-147,ERR17174697
lti-148,ERR17174698
lti-149,ERR17174699
lti-150,ERR17174700
lti-151,ERR17174701
lti-152,ERR17174702
lti-153,ERR17174703
lti-154,ERR17174704
lti-155,ERR17174705
lti-156,ERR17174706
lti-157,ERR17174707
lti-158,ERR17174708
lti-159,ERR17174709
lti-160,ERR17174710
lti-161,ERR17174711
lti-162,ERR17174712
lti-163,ERR17174713
lti-164,ERR17174714
lti-165,ERR17174715
lti-167,ERR17174717
lti-168,ERR17174718
lti-169,ERR17174719
lti-170,ERR17174720
lti-171,ERR17174721
lti-172,ERR17174722
lti-173,ERR17174723
lti-174,ERR17174724
lti-175,ERR17174725
lti-176,ERR17174726
lti-177,ERR17174727
lti-178,ERR17174728
lti-179,ERR17174729
lti-180,ERR17174730
lti-182,ERR17174732
lti-183,ERR17174733
lti-184,ERR17174734
lti-185,ERR17174735
lti-186,ERR17174736
lti-187,ERR17174737
lti-188,ERR17174738
lti-189,ERR17174739
lti-190,ERR17174740
lti-191,ERR17174741
lti-193,ERR17174743
lti-194,ERR17174744
lti-195,ERR17174745
lti-196,ERR17174746
lti-197,ERR17174747
lti-198,ERR17174748
lti-199,ERR17174749
lti-200,ERR17174750
lti-201,ERR17174751
lti-202,ERR17174752
lti-203,ERR17174753
lti-204,ERR17174754
lti-205,ERR17174755
lti-206,ERR17174756
lti-207,ERR17174757
lti-208,ERR17174758
lti-209,ERR17174759
lti-210,ERR17174760
lti-211,ERR17174761
lti-212,ERR17174762
lti-213,ERR17174763
lti-214,ERR17174764
lti-215,ERR17174765
lti-216,ERR17174766
lti-217,ERR17174767
lti-218,ERR17174768
lti-219,ERR17174769
lti-220,ERR17174770
lti-221,ERR17174771
lti-222,ERR17174772
lti-223,ERR17174773
lti-224,ERR17174774
lti-225,ERR17174775
lti-226,ERR17174776
lti-227,ERR17174777
lti-228,ERR17174778
lti-229,ERR17174779
lti-230,ERR17174780
lti-231,ERR17174781
lti-232,ERR17174782
lti-233,ERR17174783
lti-234,ERR17174784
lti-236,ERR17174786
lti-237,ERR17174787
lti-238,ERR17174788
lti-239,ERR17174789
lti-240,ERR17174790
lti-241,ERR17174791
lti-242,ERR17174792
lti-243,ERR17174793
lti-244,ERR17174794
lti-245,ERR17174795
lti-246,ERR17174796
lti-247,ERR17174797
lti-248,ERR17174798
lti-249,ERR17174799
lti-250,ERR17174800
lti-251,ERR17174801
lti-252,ERR17174802
lti-253,ERR17174803
lti-254,ERR17174804
lti-255,ERR17174805
lti-256,ERR17174806
lti-257,ERR17174807
lti-258,ERR17174808
lti-259,ERR17174809
lti-260,ERR17174810
lti-261,ERR17174811
lti-262,ERR17174812
lti-263,ERR17174813
lti-264,ERR17174814
lti-265,ERR17174815
